key,doi,url,first_author,year,title,container,volume,pages,checks,note
noaanationalcentersforenvironmentalinformation2022,10.25921/fd45-gt74,,NOAA National Centers for Environmental Information,2022,ETOPO 2022 15 Arc-Second Global Relief Model,NOAA National Centers for Environmental Information,,,crossref,
pante2013,10.1371/journal.pone.0073051,,Pante,2013,"marmap: A Package for Importing, Plotting and Analyzing Bathymetric and Topographic Data in R",PLoS ONE,8,e73051,crossref,
europeanunioncopernicusmarineservice2018,10.48670/moi-00021,,European Union-Copernicus Marine Service,2018,Global Ocean Physics Reanalysis,Mercator Ocean International,,,crossref,
europeanunioncopernicusmarineservice2022,10.48670/moi-00281,,European Union-Copernicus Marine Service,2022,"Global Ocean Colour (Copernicus-GlobColour), Bio-Geo-Chemical, L4 (monthly and interpolated) from Satellite Observations (1997-ongoing)",Mercator Ocean International,,,crossref,
europeanunioncopernicusmarineservice2018b,10.48670/moi-00019,,European Union-Copernicus Marine Service,2018,Global ocean biogeochemistry hindcast,Mercator Ocean International,,,crossref,
belkin2009,10.1016/j.jmarsys.2008.11.018,,Belkin,2009,An algorithm for oceanic front detection in chlorophyll and SST satellite imagery,Journal of Marine Systems,78,319-326,crossref,
haller2015,10.1146/annurev-fluid-010313-141322,,Haller,2015,Lagrangian Coherent Structures,Annual Review of Fluid Mechanics,47,137-162,crossref,
dovidio2004,10.1029/2004GL020328,,d'Ovidio,2004,Mixing structures in the Mediterranean Sea from finite‐size Lyapunov exponents,Geophysical Research Letters,31,,crossref,
breiman2001,10.1023/A:1010933404324,,Breiman,2001,Random Forests,Machine Learning,45,5-32,crossref,
wright2017,10.18637/jss.v077.i01,,Wright,2017,ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R,Journal of Statistical Software,77,,crossref,
friedman2001,10.1214/aos/1013203451,,Friedman,2001,Greedy function approximation: A gradient boosting machine.,The Annals of Statistics,29,,crossref,
elith2008,10.1111/j.1365-2656.2008.01390.x,,Elith,2008,A working guide to boosted regression trees,Journal of Animal Ecology,77,802-813,crossref,
chen2016,10.1145/2939672.2939785,,Chen,2016,XGBoost,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,785-794,crossref,
mccullagh1989,10.1007/978-1-4899-3242-6,,McCullagh,1989,Generalized Linear Models,,,,crossref,
hastie1986,10.1214/ss/1177013604,,Hastie,1986,Generalized Additive Models,Statistical Science,1,,crossref,
wood2017,10.1201/9781315370279,,Wood,2017,Generalized Additive Models,,,,crossref,
wood2010,10.1111/j.1467-9868.2010.00749.x,,Wood,2010,Fast Stable Restricted Maximum Likelihood and Marginal Likelihood Estimation of Semiparametric Generalized Linear Models,Journal of the Royal Statistical Society Series B: Statistical Methodology,73,3-36,crossref,
marra2011,10.1016/j.csda.2011.02.004,,Marra,2011,Practical variable selection for generalized additive models,Computational Statistics &amp; Data Analysis,55,2372-2387,crossref,
thuiller2009,10.1111/j.1600-0587.2008.05742.x,,Thuiller,2009,BIOMOD – a platform for ensemble forecasting of species distributions,Ecography,32,369-373,crossref,
allouche2006,10.1111/j.1365-2664.2006.01214.x,,ALLOUCHE,2006,"Assessing the accuracy of species distribution models: prevalence, kappa and the true skill statistic (TSS)",Journal of Applied Ecology,43,1223-1232,crossref,
saito2015,10.1371/journal.pone.0118432,,Saito,2015,The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets,PLOS ONE,10,e0118432,crossref,
sofaer2019,10.1111/2041-210X.13140,,Sofaer,2019,The area under the precision‐recall curve as a performance metric for rare binary events,Methods in Ecology and Evolution,10,565-577,crossref,
ross2023,10.3354/meps14204,,Ross,2023,Estimating North Atlantic right whale prey based on Calanus finmarchicus thresholds,Marine Ecology Progress Series,703,1-16,crossref,
box1964,10.1111/j.2517-6161.1964.tb00553.x,,Box,1964,An Analysis of Transformations,Journal of the Royal Statistical Society Series B: Statistical Methodology,26,211-243,crossref,
yeo2000,10.1093/biomet/87.4.954,,Yeo,2000,A new family of power transformations to improve normality or symmetry,Biometrika,87,954-959,crossref,
